-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
costose	cher (de prix, aussi)
costose	coûteux
costum	costume
cotelete	côtelette
coton	coton
covrar	couvrir
covre	couverture
coxe	cuisse
cracar	craquer
crampe	crampe (méd.)
crasar	écraser
crater	cratère
cravate	cravate
crayon	crayon
creacion	création
crear	créer
creator	créateur
creatora	créatrice
creatur	créature
credar	croire
crede	croyance
crede	foi (croyance)
credite	crédit
credul	crédule
crem	crème
crematorio	crématoire (s.)
crepitar	crépiter
crepuscul	crépuscule
crescar	croître
crescar	grandir (vi., croître)
crespe	crêpe (sm.)
creta	craie
crevar	crever (vi.)
cri	cri
criar	crier
crime	crime
criminalitá	criminalité
criminalitá	criminel
crisantem	chrysanthème
crise	crise
cristal	cristal
cristian	chrétien
Cristo	Christ
critica	critique (sf.)
critican	critique (sm.)
criticar	critiquer
critique	critique (a.)
crocodil	crocodile
cronique	chronique (a.)
crucero	croiseur
crucevía	carrefour
crucifixe	crucifix
crude	cru (a.)
cruel	cruel
crueltá	cruauté
cruste	croûte
cruzar	croiser
cuaderne	cahier
cuaderne	carnet
cuadrate	carré (a.)
cuadrato	carré (s.)
cuadre	cadre
cuadrel	carreau (aussi cartes)
cuadrel	vitre
cualificar	qualifier
cualificar	traiter (qualifier)
cualitá	qualité
cualitativ	qualitatif
cuandanque	quand même
cuando	quand
cuante	combien [de] (a.)
cuantes	combien [de] (a.)
cuantitá	quantité
cuantitativ	quantitatif
cuanto	combien (adv., pron. neutre)
cuanto a	quant à
cuar	quatre
cuarante	quarante
cuaranten	quarantaine
cuarce	quatorze
cuaresma	carême
cuarte	quart (fraction)
cuarte	quartier (quart)
cuarter	quartier (de ville, mil.)
cuartete	quatuor
cuchar	coucher
cuchar	être couché
cuchar se	se coucher
cuchin	coussin
cuco	coucou
cucumbre	concombre
cude	coude
cude	tournant (s., coude)
cuerco	chêne
cui	dont
cuiler	cuiller
cuiler	cuillère
cuin	cinq
cuinante	cinquante
cuinantenari	cinquantenaire (a.)
cuinantenario	cinquantenaire (s., pers.)
cuince	quinze
cuincen	quinzaine
cuitance	acquit
cuitance	reçu (s.)
cuitanzar	quittancer
cuite	quitte
culise	coulisse
culmar	combler
culpable	coupable
culte	culte
cultivar	cultiver
cultivator	cultivateur
cultur	culture
cuple	couple
cuplete	couplet
cupol	coupole
cupre	cuivre (métal)
cura	cure (médicale)
curante	courant (a.)
curar	courir (vi.)
curente	courant (s., eau, air, électr.)
curiose	curieux
curiositá	curiosité
cursa	course (de cheveaux)
curse	cours
curte	bref (a.)
curte	court (a.)
curvar	courber (vt.)
curvar	voûter (courber)
curvate	courbe (a.)
curve	courbe (s.)
curve	tournant (s., coude)
cusin	cousin (pers.)
cusina	cousine (pers.)
cuva	cuve
cuva de banie	baignoire
cuvete	cuvette (pour se laver)
da	de (prép. de l'agent et de l'infinitif)
da	de (point de départ, aussi)
da	depuis (prép., fin)
da	dès [fin]
da	par (prép. de l'agent)
da alor	depuis (adv., lors)
da ora	désormais
dactilografa	dactylographe (pers.)
dactilografe	dactylographe (pers.)
dama	dame
damaga	dommage
danese	danois
Dania	Danemark
dansar	danser
danse	danse
Danube	Danube
daque	depuis que
dar	donner
dar	rendre (donner)
dar foco	faire feu
data	date
data	quantième
datar	dater
datel	datte
de	de
de coi	dont (de quoi)
de la	en (adv., de là)
de lo	en (de cela)
de lui (etc.)	en (de lui, etc.)
de meme que	ainsi que
de novel	de nouveau
de quel	dont (duquel, de laquelle, desquel(le)s, aussi)
de quel	dont (de quoi)
de queles	dont (duquel, de laquelle, desquel(le)s, aussi)
de queles	dont (de quoi)
de soto	de dessous de
de supre	de dessus de
dea	déesse
debarasar	débarrasser
debarcar	débarquer
debatar	débattre
debate	débat
debitar	débiter (porter au débit)
debite	dette
debordar	déborder (vi., liquide)
debroliar	débrouiller
debute	début
debutonar	déboutonner (vêtement)
decadence	décadence
dece	dix
decembre	décembre
decen	dizaine
decente	décent
decepcion	déception
decevar	décevoir
decharjar	décharger
dechifrar	déchiffrer
decidar	décider
decidar	déterminer (décider)
decigram	décigramme
decilitre	décilitre
decimetre	décimètre
decision	décision
decisiv	décisif
declamar	déclamer
declamation	déclamation
declaracion	déclaration
declarar	déclarer
declinar	décliner (vt.)
declivitá	pente (déclivité)
decoletar	décolleter
deconseliar	déconseiller
decoracion	décoration
decorajamente	découragement
decorajar	décourager
decorar	décorer
decorativ	décoratif
decovrar	découvrir
decovre	découverte
decrescar	décroître
decretar	décréter
dedicacion	dédicace
dedicar	dédier
defar	défaire (paquet, malle)
defata	défaite (déroute)
defecte	défaut
defecte	vice (corporel)
defectuose	défectueux
defendar	défendre
defense	défense
defigurar	défigurer
definar	définir
definicion	définition
definitiv	définitif
degelar	dégeler (vi.)
degenerar	dégénérer
dejunar	déjeuner (v.)
dejuner	déjeuner (s.)
del reste	d'ailleurs
delegacion	délégation
deliberar	délibérer
delicate	délicat
delicatese	délicatesse
deliciose	délicieux
delir	délire
delirar	délirer
deman	demain
demandar (de)	demander (à)
demande	demande
demence	démence
demision	démission
demisionar	démissioner
demitar	ôter (vêtement)
demitar	retirer (ôter)
democracía	démocratie
democrate	démocrate
democratique	démocratique
demodate	démodé
demon	démon
demoralisar	démoraliser
denaro	argent (monnaie)
dense	dense
dense	épais (dense)
dente	dent
dentel	dentelle
dentifrice	dentifrice (a.)
dentiste	dentiste
dentre	au dedans de
dentro	dedans (adv.)
denudar	dénuder
denunciar	dénoncer (droit)
Deo	Dieu
departamente	département
depasar	dépasser (passer devant)
dependance	dépendance (sujétion)
dependar	dépendre (vi.)
deplorable	déplorable
deplorar	déplorer
deportar	déporter
deportar	transporter (droit)
deposar	déposer (vi., chose, somme)
depote	dépôt (chose, local)
depote de bagages	consigne
depresar	déprimer
depresion	dépression
depulvar	épousseter
deputacion	députation
deputar	députer
derailar	dérailler
deranjar	déranger
derier	derrière (prép.)
deriere	arrière
deriere	derrière (adv. et s.)
derision	dérision
desagreable	désagréable
desagreable	vilain (désagréable)
desaprobacion	désapprobation
desaprobar	désapprouver
desavantage	désavantage
descontente	mécontent (a.)
descontento	mécontentement
describar	décrire
descripcion	description
desendada	descente
desendar	descendre
desertar	déserter
desertar	dessert
deserte	désert (a.)
deserto	désert (s.)
desesperacion	désespoir
desesperar	désespérer (vi.)
desfavorable	défavorable
desfidar	méfier
desfidar se de	se défier de
deshonor	déshonneur
deshonorar	déshonorer
desilusion	désillusion
desin	dessin
desinar	dessiner
desinfectar	désinfecter
desir	désir
desir	envie (désir)
desir	souhait
desir	voeu (souhait)
desirable	désirable
desirar	désirer
desirar	souhaiter
desobeyance	désobéissance
desobeyar	désobéir
desolar	désolar (affliger)
desordin	désordre
despote	despote
despotique	despotique
despreciable	méprisable
despreciar	mépriser
desprecie	mépris
destin	destinée
destinacion	destination
destinar	destiner
destituar	destituer
destre	droit (opposé à gauche)
destrucion	destruction
destructar	détruire
destructar	perdre (détruire)
detachar	détacher (mil., dégager)
detaliar	détailler (récit)
detalie	détail
detectiv	détective
determinar	déterminer
detestable	détestable
detestar	détester
detonacion	détonation
deturnar	détourner (tête, yeux, d'une action, d'une pensée)
deturne	détour
devan	devant (prép.)
devantal	tablier (vêtement)
devante	au-devant
devante	avant (espace)
devante	devant (adv. et s.)
devar	devoir (v. et s.)
devar	falloir (devoir)
devastar	dévaster
develar	dévoiler
developar	développer
develope	développement
devenar	devenir
devestar	déshabiller
devocion	dévotion
devorar	dévorer
di	que (après un mot comparatif)
dia	jour
dia	journée (durée de jour)
dia de tute Santes	Toussaint
diabete	diabète
diabetique	diabétique
diable	diable
diadem	diadème
diagnose	diagnose
dialecte	dialecte
dialogue	dialogue
diamante	diamant
diametre	diamètre
dianocte	jour et nuit
diante	oeillet (fleur)
diarea	diarrhèe
diario	journal (mémoires)
dicar	dire
dicionario	dictionnaire
dictar	dicter
dictato	dictée
dictator	dictateur
dictatur	dictature
diferar	différer (vi.)
diference	différence
diferente	différent
dificultá	difficulté
dificulte	difficile
diftería	diphtérie
diftongue	diphtongue
difuse	diffus
difusion	diffusion (phys.)
digestar	digérer
digestion	digestion
digite	doigt
digite de pede	orteil
dignar	daigner
digne	digne
dignitá	dignité
digue	digue
dilema	dilemme
diligence	diligence
diligente	diligent
dimension	dimension
diminuar	diminuer
dinamite	dynamite
dinar	dîner (v.)
dinastía	dynastie
diner	dîner (s.)
diplom	diplôme
diplomate	diplomate
diplomatique	diplomatique (a.)
direcion	direction
direcion	sens (direction)
directar	diriger
directe	direct
directe	droit (direct)
directemente	droit (adv.)
directo	droit (s.)
director	directeur (s.)
director	proviseur
director de sen	régisseur (théâtre)
directora	directrice (s.)
discordia	discorde
discrecion	discrétion
discrete	discret
discualificar	disqualifier
discurse	conférence (discours)
discurse	discours
discusion	discussion
discutar	discuter
disecar	disséquer
disgustar	dégoûter
disguste	dégoût
disipar	dissiper (biens)
disiple	disciple
disiple	élève
disiplin	discipline
disolvar	dissoudre
disonance	dissonance
disparicion	disparition
disparisar	disparaître
dispersar	disperser
displesar	déplaire
displesur	déplaisir
disponisble	disponible
disposar	disposer
disposicion	disposition
disputar	disputer (vi.)
dispute	dispute
disque	disque
distance	distance
distante	distant
distingar	distinguer
distingate	distingué
distinte	distinct
distracion	distraction
distractar	distraire
distribuar	distribuer
distribucion	distribution
districte	district
diverse	divers
divertar	divertir
dividar	diviser
dividar	partager (diviser)
divin	divin
divinar	deviner
divorce	divorce
divorzar	divorcer
doana	douane
doctor	docteur
doctrin	doctrine
documente	document
dol	deuil
dolor	douleur
dolorose	douloureux
domestica	domestique (s., serviteur)
domestique	domestique (a.)
domestique	domestique (s., serviteur)
dominacion	domination
dominar	dominer
dominar se	se posséder (fig.)
domtar	dompter
don	cadeau
don	don
don	donc (inaccentué)
don	présent (don)
donacion	donation
donar	donner (faire cadeau, aussi)
donque	donc
dopo	après
dopo	depuis (adv., lors)
dopo-deman	après-demain
dopo-midi	après-midi
dorar	dorer
dormar	dormir
dorse	dos
dose	dose
dotar	douer
dote	dot
drama	drame
dramatique	dramatique
dramatisar	dramatiser
drape	drap (étoffe de laine)
drapería	draperie (étoffe drapée)
dresar	dresser (un animal)
du	deux
du	d'où
duante	vingt
duante uneme	vingt et unième
dublar	doubler
duble	double (a.)
duce	douze
ducen	douzaine
duche	douche
duel	duel
dueme	second
dulce	doux (a.)
dulcese	douceur
dupar	duper
duque	duc
duquesa	duchesse
dur	dur (a.)
duracion	durée
duran	durant (prép.)
duran	pendant (prép.)
durar	durer
dutar	douter
dute	doute
dutose	douteux
ebrie	ivre
ebrietá	ivresse
echange	change (échange)
echange	échange
echanjar	échanger
eclesia	église
eco	écho
econom	économe (a.)
economía	économie
economique	économique
economisar	économiser
economisar	ménager (v., économiser)
ecuator	équateur
edicion	édition
edificar	bâtir
edificar	édifier
edifice	bâtiment
edifice	édifice
editor	éditeur
educacion	éducation
efazar	effacer (oblitérer)
efazar	radier (vt.)
efecte	effet
eficace	efficace
eforce	effort
eforzar se	s'efforcer
eforzar se	tâcher
efracion	effraction
egal	égal (a. et s.)
egal	pareil (a. et s., égal)
egalar	égaler
egalitá	égalité
egarde	égard
egarde	respect (égard)
egipcian	égyptien
Egipte	Égypte
egoísme	égoïsme
egoíste	égoïste
eh!	hein!
el	elle (se rapp. à un être fém.)
elaboracion	élaboration
elaborar	élaborer
elastique	élastique (a.)
elecion	élection
electar	choisir (élire)
electar	élire
electricitá	électricité
electrificar	électrifier
electrique	électrique
elefante	éléphant
elegance	élégance
elegante	élégant
elementari	élémentaire
elemente	élément
elev	élève
elevar	élever (lever en haut)
elevator	ascenseur
elite	élite
elocuence	éloquence
elocuente	éloquent
emancipar	émanciper
embarasar	embarrasser
embarasar	gêner
embarase	embarras
embolía	embolie
emfase	emphase
emigracion	émigration
emigrar	émigrer
eminente	éminent (fig.)
emision	émission
emocion	émotion
emovar	émouvoir (fig.)
emovar	toucher (fig.: émouvoir)
employar	employer (pers.)
employate	employé
empruntar (de)	emprunter (à, de)
emprunte	emprunt
enciclopedía	encyclopédie
encontrar	rencontrer (vt.)
encontre	au-devant de
encontre	rencontre (entrevue)
encre	encre
energía	énergie
energique	énergique
enervar	énerver (fig.)
engajar	engager
Englande	Angleterre
englese	anglais
enigma	enigme
enigmatique	énigmatique
enorme	énorme
enoyar	ennuyer
enoye	ennui
enoyose	ennuyeux
ensemble	ensemble
entier	entier
entrada	entrée
entrar	entrer
entre	entre (prép.)
entre	parmi
entrenar	entraîner (sport)
entreprendar	entreprendre
entreprende	entreprise
entretenar	entretenir (une pers.)
entusiasmar	enthousiasmer
entusiasme	enthousiasme
entusiaste	enthousiaste
envelopar	envelopper
envelope	enveloppe
envelope	pli (enveloppe)
envoyar	envoyer
envoye	envoi
envoye so bande	sous-bande
epidemía	épidémie
epidemique	épidémique
epilepsía	épilepsie
epingle	épingle
episcope	évêque
episode	épisode
epol	épaule
epoque	époque
equilibre	équilibre
equipar	équiper
equipe	équipe (d'ouvriers)
equivoque	équivoque (a.)
erar	errer (se tromper)
erar	se méprendre
erectar	dresser (ériger)
erectar	ériger
erecte	debout
erecte	droit (debout)
erizon	hérisson
ermite	ermite
eror	erreur
eror	méprise
erotique	érotique
erudicion	érudition
erudite	érudit
erudite	savant (a.)
erupcion	éruption
esayar	essayer
esayar	tâcher (essayer)
esayar	tenter (essayer)
esaye	essai
esaye	tentative
escapar	échapper (vi., et réfl.)
escapar se	se sauver (s'échapper)
escortar	escorter
escorte	escorte
escorte	suite (escorte)
escrim	escrime
escrimar	escrimer
escrimator	escrimeur
escuadre	escadre
escultar	écouter
escultar	entendre (écouter)
esence	essence
esencial	essentiel
Espania	Espagne
espaniol	espagnol
esperance	espérance
esperance	espoir
esperar	espérer
esplanada	esplanade
estate	été
este	est
estetique	esthétique
estim	considération (estime)
estim	estime
estimar	estimer
estrade	estrade
etá	âge
etablisamente	établissement
etablisar	établir
etage	étage
etage de tera	rez-de-chaussée
eter	éther
eterne	éternel
eternitá	éternité
etica	éthique (s.)
etimología	étymologie
etique	éthique (a.)
etiquete	étiquette
etonamente	étonnement
etonar	étonner
etuí	étui
eufonía	euphonie
Europa	Europe
european	européen
evacuar	épuiser (prop.)
evacuar	évacuer
evacuar	vider (évacuer)
evadar se	s'évader
evangelio	évangile
evangelique	évangélique
evangeliste	évangéliste
evanisar se	s'évanouir
eveliar	éveiller
eveliar	réveiller
evenar	arriver (avoir lieu)
evente	événement
eventual	éventuel
eventualitá	éventualité
evidence	évidence
evidente	évident
evitar	éviter
exacte	exact
exactitude	exactitude
exageracion	exagération
exagerar	exagérer
exaltar	exalter
examen	examen
examinar	examiner
exasperacion	exaspération
exasperar	exaspérer
excavar	creuser (fouiller)
excavar	fouiller (vt., le sol)
exclamacion	exclamation
exclamar	s'écrier
exclamar	exclamer
excludar	exclure
exclusiv	exclusif
excomunicar	excommunier
excremente	excrément
excursion	excursion
excusable	excusable
excusar	excuser
excuse	excuse
execucion	exécution
execucion	exécution
executar	exécuter
executiv	exécutif
exedente	éxcédent
exelar	exceller
exelence	excellence
exelente	excellent
exemplar	exemplaire (s.)
exemplari	exemplaire (a.)
exemple	exemple
exentrique	excentrique (a.)
exepcion	exception
exepcional	exceptionnel
exeptar	excepter
exepte	excepté (prép.)
exepte	hors [de] (excepté)
exersar	exercer
exersice	exercise
exese	excès
exesiv	excessif
exhortar	exhorter
exijar	exiger
exijar	réclamer (exiger)
exil	exil
exilar	exiler
existar	exister
existence	existence
exitacion	excitation
exitar	exciter
exotique	exotique
expansion	expansion
expectacion	attente (espoir)
expectar	s'attendre à
expediar	expédier
expedicion	expédition
expeditor	envoyeur
expeditor	expéditeur
expeditora	expéditrice
expensar	dépenser
expense	dépens
expenses (pl.)	frais (pl., dépenses)
experience	expérience (en gén.)
experimentar	expérimenter
experimente	expérience (une --)
experte	expert
expiar	expier
explicable	explicable
explicacion	explication
explicar	expliquer
explodar	éclater (exploser)
explodar	exploser
exploitar	exploiter
exploracion	reconnaissance (mil.)
explorar	explorer
explorar	fouiller (les poches)
explorar	reconnaître (mil.)
explosion	éclat (de rire)
explosion	explosion
explosiv	explosif (a.)
exportacion	exportation
exportar	exporter
exportator	exportateur
exposar	exposer
exposicion	exposition
exposicion	montre (étalage)
expresar	exprimer
exprese	exprès (a., explicite)
exprese	express
exprese	rapide (s., train)
expresion	expression
expropriar	exproprier
exquisite	exquis
extase	extase
extendar	étendre
extension	extension
exterior	dehors (s.)
exterior	extérieur
exterminar	exterminer
extingar	éteindre
extingar	souffler (éteindre)
extracion	extraction
extractar	extraire
extrange	étranger (pays)
extranger	étranger (d'un autre pays)
extrangera	étranger (s., d'un autre pays)
extrangero	étranger (s., d'un autre pays)
extraordinari	extraordinaire
extraviar	égarer
extrem	extrême
extremitá	bout
extremitá	extrémité
fa poco	tout à l'heure (avant)
fa un ano	il y a un an
fa un ano	il y a un an
fable	fable
fabrica	fabrique (établissement)
fabricacion	fabrication
fabricante	fabricant
fabricar	fabriquer
fabulose	fabuleux
face	face
face	figure (visage)
face	visage
facelete	mouchair
facil	facile
facilitá	facilité
facilitar	faciliter
facte	fait (s.)
factor	facteur (math. et fig.)
factur	facture (com.)
facultá	faculté
facultá	puissance (faculté)
facultativ	facultatif
fago	hêtre
falcon	faucon
false.	faux (a.)
falsemente	faux (adv.)
falsificacion	falsification
falsificar	falsifier
falsitá	fausseté
faltar	faillir (tomber en faute)
faltar	fauter
falte	faute
fama	renom
fama	renommée
fame	faim
familiari	familier (a.)
familiaritá	familiarité
familie	famille
famin	famine
famose	fameux
fanatique	fanatique
fanatisme	fanatisme
fango	boue
fango	vase (sf.)
fangose	boueux
fantasía	fantaisie (faculté, mus.)
fantastique	fantastique
fantom	fantôme
faquir	fakir
far	faire
far	rendre (faire)
far algue far algo	faire faire qc à qn
far foco	faire du feu
farce	farce
fardar	farder (vt.)
farde	fard
farde	plâtre (fard)
fardel	fardeau
farin	farine
farmacía	pharmacie
faro	phare (tour)
fase	phase
fasinar	fasciner
fasque	faisceau
fatal	fatal
fataliste	fataliste
fatalitá	fatalité
fatiga	fatigue
fatigar	fatiguer
fatigate	las
fato	fait (action)
faun	faune (sm.)
fauna	faune (sf.)
favor	faveur
favor	grâce (faveur)
favorable	favorable
favorisar	favoriser
favorita	favorite (s.)
favorite	favori (s.)
favorite	favori (a.)
favorite	favorite (a.)
fayence	faïence
fazada	façade
fea	fée
feble	faible (a.)
feblese	faiblesse
febre	fièvre
febril	fébrile
febrose	fiévreux
februario	février
felice	heureux
felicitá	bonheur (félicité)
felicitá	félicité
felicitacion	félicitation
felicitar	féliciter
feltre	feutre
fema	femme
femin	femelle (a.)
femina	femelle (s.)
feminin	féminin
femor	fémur
fen	foin
fenar se	se faner
fenar se	se flétrir
fendar	fendre
fenestre	fenêtre
fenomen	phénomène
fenomenal	phénoménal
fer	fer
feria	foire
ferme	ferme (s., domaine)
fermentar	fermenter
feroce	féroce
ferovía	chemin de fer
fertil	fertile
fertilitá	fertilité
festar	fêter
festarde	fêtard
feste	fête
festin	festin
festinar	festiner (vi.)
festiv	férié
festivitá	festivité
fetide	fétide
fi!	fi!
fiasco	fiasco
fibul	boucle (pour attacher)
fibul	fermoir
fidanzamente	fiançailles (sing.)
fidanzar	fiancer
fidanzata	fiancée
fidanzate	fiancé
fidar in	confier (se fier à)
fidar in	se fier à
fide	confiance
fide	croyance (confiance, foi)
fide	foi (confience, relig.)
fidel	fidèle
fidelitá	fidélité
fier	fier (a.)
figa	figue
figur	figure
figurar	figurer
figurar se	se figurer
fil	fil
fil de seta	soie (fil)
fila	file
filantrope	philanthrope
filateliste	philatéliste
filia	fille (opp. à fils)
filie	fille (opp. à garçon)
filio	fils
film / filme	film
filo	fil (tranchant)
filología	philologie
filologique	philologique
filologue	philologue
filosofar	philosopher
filosofe	philosophe
filosofía	philosophie
filosofique	philosophique
filtrar	filtrer
fin	fin (a.)
fin	jusque
final	final
final	finale (s.)
finalmente	enfin
finance	finance
financial	financier (a.)
financiero	financier (s.)
finar	finir
finar	terminer
fine	bout
fine	fin (s.)
fine, limite	terme (fin, limite)
fingar	feindre (simuler)
fingar	faire semblant
Finlande	Finlande
finlandese	finlandais
finque	jusqu'à ce que
fiorde	fiord
firma	firme
firme	ferme (a.)
firmese	fermeté
fisica	physique (sf.)
fisico	physique (sm.)
fisionomía	physionomie
fisique	physique (a.)
fixar	fixer
fixe	fixe
flacon	flacon
flama	flamme
flamar	flamboyer
flanar	flâner
flanel	flanelle
flanque	côté (flanc)
flatante	flatteur / flatteuse (a.)
flatar	flatter
flatator	flatteur (s.)
flatatora	flatteuse (s.)
flatería	flatterie
fleche	flèche (arme)
flegmatique	flegmatique
flexible	flexible
flirtar	flirter
flirtar con	courtiser
flirte	flirt
flocon	flocon
flor	fleur
flora	flore
floracion	fleuraison
florar	fleurir
floriste	fleuriste
flotar	flotter (vi.)
flotilie	flottille
fluar	couler (vi.)
flute	flûte (instr.)
fluve	fleuve
fluve	rivière
fluxe	flux (méd., marée)
focario	cheminée (foyer)
focario	foyer (âtre)
foco	feu (s.)
foderar	fourrer (doubler)
fol	fou, fol (a.)
folía	folie
foliage	feuillage
folie	feuille
folie	feuillet (de livre)
folie de lata	tôle
foliete	feuillet (de livre)
folieton	feuilleton
fondacion	fondation
fondamental	fondamental
fondamente	fondement
fondar	fonder
fondator	fondateur
fondatora	fondatrice
fonde	fonds (capital et fig.)
fondo	fond
fonetica	phonétique (s.)
fonetique	phonétique (a.)
fontan	fontaine (artificielle)
fonte	fontaine (source)
forar	forer
force	force (s.)
force	puissance (force)
fore	dehors (adv.)
foreste	forêt
forete	foret
forge	forge
forgero	forgeron
forjar	forger
formacion	formation
formalisme	formalisme
formalitá	formalitá
formar	former
formato	format
forme	façon (forme)
forme	forme
formica	fourmi
formicar	fourmiller
formul	formule
fornel	fourneau
forse	peut-être
forte	fort (a. et s., mil.)
fortemente	fort (adv.)
fortese	forteresse
fortificacion	fortification
fortificar	fortifier
fortun	fortune (richesse)
fortuna	bonheur (fortune)
fortuna	fortune (bonne)
forzar	contraindre (forcer)
forzar	forcer
foso	fossé
foto	photo (image)
fotografar	photographier
fotografe	photographe
fotografía	photographie (image)
fotografique	photographique
fracion	fraction
fractur	fracture
fragil	fragile
fragmente	bout (fragment)
fragmente	fragment
frambesa	framboise
France	France
francese	français
franco	franco (de port)
franque	franc (s.)
franque	franc (a., sincère)
franquese	franchise (sincérité)
fraque	frac
fraque	habit noir
frase	phrase
fraseología	phraséologie
fraternitá	fraternité
fratre	frère
fraude	fraude
frecuentar	fréquenter
frecuente	fréquent
fremisar	frémir (frissoner)
fremise	frémissement (frisson)
fren	frein
frenar	freiner
frenesía	frénésie
frenetique	frénétique
fresa	fraise (fruit)
frescur	fraîcheur
fresque	frais (a.)
fricion	friction
fride	froid (a.)
fridese	froid (s.)
fridese	froideur
fridese	froideuse
fripon	fripon (s.)
frisar	friser (vt., en boucles)
frison	frisson
frisonar	frissonner
fritar	frire (vt.)
frivole	frivole
fromage	fromage
fronte	front
frontiera	frontière
frotacion	frottement
frotar	frotter
fructe	fruit
frugal	frugal
frumente	blé
ftisía	phtisie
ftisique	phtisique
fuco	fucus
fuga	fuite (action de fuir)
fugar	s'enfuir (fuir)
fugar	fuir
fuligin	suie
fulmin	éclair
fulmin	foudre (éclair)
fumar	fumer
fumator	fumeur
fumatora	fumeuse
fumatorio	fumoir
fume	fumée
fumose	fumeux (prop.)
funcion	fonction
funcionar	fonctionner
funcionar	marcher (foncionner)
funcionario	fonctionnaire
fundar	fondre
funerales (pl.)	funérailles (pl.)
fungo	champignon
funiculari	funiculaire (a.)
funiculari	funiculaire (s.)
fuor	en dehors de
fuor	hors [de] (prép.)
fuor de	hors [de] (direction)
furia	rage (fureur, aussi)
furiose	furieux
furnisar	fournir (pourvoir)
furquete	fourchette
furtar de	voler à (dérober)
furtator	voleur (s.)
furtatora	voleuse (s.)
furte	vol (action de dérober)
fusil	fusil
fustar	fouetter
futbal	football
futil	futile
futur	futur (a.)
futuro	avenir (s.)
futuro	futur (s.)
gala	gala
galería	galerie
galina	poule
galinete	poulet
galo	coq
galopar	galop
gamin	gamin
ganiar	gagner
gante	gant
garage	garage (remise)
garantar	garantir
garantía	garantie
gardar	garder (bête, etc.)
garde	garde (action, corps de troupes)
gardian	garde (personne))
gardian	gardien
gargarisar	gargariser
garnisar	garnir
garnison	garnison
garnitur	garniture
garson	garçon
gas	gaz
gasose	gazeux
gaviota	mouette
gaye	gai
gayetá	gaieté
gazon	gazon
gazon	pelouse
geografique	géographique
gectar	jeter
gecte	jet
gel	gelée (température)
gel blanque	givre
gelar	geler
gelatin	gélatine
gelato	glace (crème congelée)
gelea	gelée (cuisine)
gelosía	jalousie (de fenêtre)
gemel	jumeau (a.)
gemel	jumelle (a.)
gemel	jumeau (s.)
gemela	jumelle (s.)
gemisar	gémir
gemise	gémissement
gendarme	gendarme
generacion	génération
general	général (a. et s.)
generalisar	généraliser
generar	engendrer
generose	généreux
generose	libéral (généreux)
generositá	générosité
genie	génie (talent supérieur)
genitores	parents (père et mère)
genre	genre (gram., art)
gente (sing.)	gens (pl.)
gentil	gentil (a.)
gentil	joli
gentleman	gentleman
genu	genou
geografía	géographie
geología	géologie
geologique	géologique
Germania	Allemagne
germanique	germanique
geste	geste (mouvement)
gesticular	gesticuler
gesuite	jésuite
Gesús	Jésus
gibose	gibbeux
gifle	gifle
giganta	géante (s.)
gigante	géant (s.)
gigantesque	géant (a.)
gilete	gilet
gimnaste	gymnaste
gimnastica	gymnastique (s.)
gimnastique	gymnastique (a.)
gin	gin
ginger	gingembre
gipse	plâtre
girafe	girafe
glace	glace (eau congelée)
glaciero	glacier (de montagne)
glandul	glande
glisar	couler (glisser)
glisar	glisser
globe	globe
gloria	gloire
gloriose	glorieux
glosario	glossaire
godar	jouir
gode	jouissance
gola	gorge (gosier)
gola	gosier
golfe	golfe
goma	gomme
gongue	gong
gonorea	gonorrhée
gota	goutte (maladie)
gotique	gothique (a.)
grace	grâce (agrément, charme)
gracia	grâce (théol., remise de peine)
graciar por	remercier de
gracie	merci (remerciement)
gracie a	grâce à
gracie a Deo	Dieu merci
gracie por	merci de
gracie por	remerciement de
graciose	gracieux
grade	degré
grade	grade
gradin	degré (d'escalier)
gradin	marche (degré d'escalier)
gradin	pas (marche d'escalier)
gram	gramme
gramatica	grammaire
gramatical	grammatical
gran	grain
gran-matre	grand-mère
gran-parentes	grand-parents
gran-patre	grand-père
granada	grenade (projectile)
grande	grand
grandese	grandeur
graniera	grange
grape	grappe (de raisin, etc.)
grasar	graisser
grase	gras (a.)
grasose	graisseux
gratar	gratter
grate	reconnaissant (a.)
gratitude	gratitude
gratitude	reconnaissance (gratitude)
gratuite	gratuit (sans frais)
gravar	graver
grave	grave (a.)
gravel	gravier
gravitá	gravité
Grecia	Grèce
grelar	grêler
greniera	grenier (sous le toit)
greque	grec
greve	grève (cessation du travail)
greviste	gréviste
grife	griffe (ongle crochu)
grilar	griller (au feu)
grimace	grimace
grimpar	grimper
grise	gris (a., couleur)
grog / grogue	grog
grose	gros (a.)
grose	puissant (gros)
groselia	groseille
groser	grossier (a.)
grota	grotte
grotesque	grotesque
grue	grue
gruel	gruau
gruniar	grogner
gruniar	gronder (vi., grogner)
grupe	groupe
guance	joue
guera	guerre
guericion	guérison
guerisable	guérissable
guerisar	guérir (vt.)
guidar	guider
guide	guide (sm., pers., livre)
guiliotin	guillotine
guirlande	guirlande
guitara	guitare
gurmande	gourmand
gustar	goûter (v.)
guste	goût
guta	goutte (de liquide)
guvernalie	gouvernail
guvernamente	gouvernement
guvernar	gouverner
guvernator	gouverneur (de province)
ha!	ha!
habil	adroit (habile)
habil	habile
habilitá	habileté
habita	habiter
